,Company,TypeName,Ram,Weight,Price,TouchScreen,Ips,Ppi,Cpu_brand,HDD,SSD,Gpu_brand,Os
54,0,3,1,0.6042402826855124,9.92620357881986,0,0,0.037693609068564726,1,4,0,1,2
55,4,3,3,0.5088339222614842,10.619090308798832,0,0,0.19332617576391958,3,0,8,0,2
56,7,3,1,0.4310954063604241,10.060060439307303,0,0,0.19332617576391958,1,0,5,1,2
57,2,3,1,0.46289752650176685,10.349204995339194,0,0,0.037693609068564726,2,0,8,1,2
58,11,1,5,0.6148409893992934,11.7789960831843,0,0,0.14033919308945292,3,5,8,2,2
59,2,3,1,0.46289752650176685,10.003839546462832,0,0,0.19332617576391958,1,0,8,1,1
60,4,3,5,0.7455830388692579,11.144911042902732,0,0,0.14033919308945292,3,5,8,0,2
61,4,4,3,0.3568904593639577,10.754345923917311,0,0,0.2549513724206101,2,0,8,1,2
62,10,3,3,0.3568904593639577,10.370822624347584,0,1,0.2549513724206101,1,0,8,1,1
63,2,3,3,0.2508833922261484,10.822504165817511,0,0,0.2549513724206101,2,0,8,1,2
64,7,3,3,0.4134275618374559,10.51225262382344,0,0,0.19332617576391958,2,0,8,1,2
65,2,4,5,0.3922261484098941,11.56792715475193,0,0,0.19332617576391958,3,0,9,2,2
66,7,3,1,0.4134275618374559,10.059354039524033,0,0,0.037693609068564726,1,3,0,0,2
67,7,3,1,0.26501766784452296,9.409283029786373,0,0,0.08153222667435767,4,0,3,1,2
68,10,3,1,0.42756183745583043,10.283659467741664,0,0,0.19332617576391958,2,4,0,1,2
69,2,1,4,0.8162544169611308,10.83096982484206,0,0,0.14033919308945292,3,4,0,2,1
70,13,4,1,0.19858657243816255,10.968576149165091,1,0,0.42102651334753777,2,0,5,1,2
71,4,4,3,0.2508833922261484,10.837272366712863,0,1,0.28657482859970135,3,0,8,0,2
72,4,3,3,0.5335689045936397,10.744054237880762,0,0,0.19332617576391958,3,0,8,0,2
73,11,1,3,0.7102473498233217,10.974070668482735,0,0,0.14033919308945292,2,4,5,2,2
74,0,3,3,0.4982332155477033,9.93914036985058,0,0,0.08153222667435767,1,4,0,1,2
75,2,1,3,0.5335689045936397,10.83096982484206,0,0,0.19332617576391958,3,4,0,2,2
76,10,3,3,0.5335689045936397,10.227464909398025,0,0,0.19332617576391958,2,5,0,1,1
77,4,3,3,0.4699646643109542,10.726662495168894,0,0,0.19332617576391958,3,4,5,1,2
78,0,3,1,0.5335689045936397,10.2484380327783,0,0,0.19332617576391958,1,4,0,2,2
79,7,3,3,0.6395759717314489,10.860047678274915,0,0,0.14033919308945292,2,4,5,2,2
80,4,4,3,0.4204946996466431,10.975129468486722,0,1,0.19332617576391958,2,0,8,1,2
81,1,4,3,0.08127208480565376,11.295425956041104,0,1,0.5186774098797948,2,0,9,1,0
82,7,3,3,0.33215547703180215,10.732493415479688,0,0,0.2549513724206101,2,0,8,1,2
83,10,3,1,0.5335689045936397,9.964522443121997,0,0,0.19332617576391958,0,0,5,0,2
84,0,3,1,0.4982332155477033,9.954446791133256,0,0,0.037693609068564726,0,4,0,0,2
85,4,1,5,0.6925795053003534,11.18267988243989,0,1,0.19332617576391958,3,4,5,2,2
86,7,4,3,0.402826855123675,10.525211768465944,0,1,0.19332617576391958,3,0,8,2,2
